i,ts_ms,close,action,conviction,urgency,edge_bps,rationale,regime,dominant_tf,agreement,conflict
65,1701394260000,39053.2,HOLD,0.0,0.0,0.0,insufficient_liquidity,trend,,0.0,0.0
66,1701394320000,39050.0,HOLD,0.0,0.0,0.0,insufficient_liquidity,trend,,0.0,0.0
67,1701394380000,39019.6,HOLD,0.0,0.0,0.0,insufficient_liquidity,trend,,0.0,0.0
68,1701394440000,39020.0,HOLD,0.0,0.0,0.0,insufficient_liquidity,trend,,0.0,0.0
69,1701394500000,39055.6,HOLD,0.0,0.0,0.0,insufficient_liquidity,trend,,0.0,0.0
70,1701394560000,39078.5,HOLD,0.0,0.0,0.0,insufficient_liquidity,trend,,0.0,0.0
71,1701394620000,39087.9,HOLD,0.0,0.0,0.0,insufficient_liquidity,trend,,0.0,0.0
72,1701394680000,39065.1,HOLD,0.0,0.0,0.0,insufficient_liquidity,trend,,0.0,0.0
73,1701394740000,39078.5,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
74,1701394800000,39100.0,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
75,1701394860000,39095.5,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
76,1701394920000,39071.1,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
77,1701394980000,39078.2,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
78,1701395040000,39072.7,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
79,1701395100000,39046.6,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
80,1701395160000,39039.9,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
81,1701395220000,39032.9,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
82,1701395280000,39006.8,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
83,1701395460000,39044.3,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
84,1701395520000,39080.8,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
85,1701395580000,39078.3,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
86,1701395760000,39078.4,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
87,1701395820000,39078.4,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
88,1701395880000,39076.1,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
89,1701396000000,39065.1,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
90,1701396060000,39049.1,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
91,1701396120000,39062.1,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
92,1701396240000,39027.3,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
93,1701396300000,39027.2,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
94,1701396420000,39058.0,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
95,1701396480000,39065.6,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
96,1701396540000,39060.1,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
97,1701396720000,39052.8,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
98,1701396840000,39035.5,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
99,1701396900000,39033.5,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
100,1701397200000,39033.4,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
101,1701397260000,39033.5,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
102,1701397320000,39033.9,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
103,1701397380000,39033.4,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
104,1701397440000,39027.2,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
105,1701397560000,39032.9,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
106,1701397620000,39033.9,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
107,1701397980000,39029.2,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
108,1701398040000,39040.0,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
109,1701398100000,39048.6,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
110,1701398160000,39067.7,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
111,1701398280000,39063.1,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
112,1701398340000,39065.7,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
113,1701398520000,39067.7,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
114,1701398640000,39109.8,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
115,1701398700000,39165.7,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
116,1701398760000,39151.5,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
117,1701398820000,39160.5,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
118,1701398880000,39151.8,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
119,1701398940000,39169.1,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
120,1701399000000,39208.5,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
121,1701399060000,39232.0,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
122,1701399120000,39205.5,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
123,1701399180000,39240.3,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
124,1701399240000,39219.1,HOLD,0.0,0.0,0.0,insufficient_liquidity,trend,,0.0,0.0
125,1701399300000,39168.4,HOLD,0.0,0.0,0.0,insufficient_liquidity,trend,,0.0,0.0
126,1701399420000,39145.3,HOLD,0.0,0.0,0.0,insufficient_liquidity,trend,,0.0,0.0
127,1701399540000,39125.5,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
128,1701399600000,39136.2,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
129,1701399720000,39136.4,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
130,1701399780000,39129.6,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
131,1701399840000,39145.1,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
132,1701399960000,39128.7,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
133,1701400020000,39112.9,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
134,1701400080000,39104.1,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
135,1701400140000,39116.8,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
136,1701400200000,39100.8,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
137,1701400260000,39117.0,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
138,1701400320000,39121.4,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
139,1701400380000,39121.3,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
140,1701400500000,39107.6,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
141,1701400560000,39143.0,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
142,1701400620000,39156.9,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
143,1701400680000,39173.0,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
144,1701400740000,39196.3,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
145,1701400800000,39224.4,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
146,1701400860000,39224.4,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
147,1701400920000,39208.5,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
148,1701400980000,39206.1,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
149,1701401040000,39192.5,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
150,1701401100000,39141.0,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
151,1701401160000,39143.9,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
152,1701401220000,39142.4,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
153,1701401340000,39129.4,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
154,1701401400000,39142.4,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
155,1701401460000,39136.7,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
156,1701401520000,39120.7,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
157,1701401580000,39121.0,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
158,1701401640000,39142.0,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
159,1701401700000,39160.6,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
160,1701401760000,39168.0,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
161,1701401940000,39163.3,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
162,1701402000000,39163.2,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
163,1701402060000,39192.5,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
164,1701402120000,39188.7,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
165,1701402180000,39205.8,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
166,1701402240000,39181.0,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
167,1701402300000,39204.9,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
168,1701402360000,39206.5,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
169,1701402420000,39196.9,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
170,1701402480000,39168.5,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
171,1701402540000,39176.5,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
172,1701402600000,39164.9,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
173,1701402660000,39155.3,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
174,1701402720000,39168.0,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
175,1701402780000,39176.5,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
176,1701402840000,39174.9,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
177,1701402900000,39167.5,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
178,1701403020000,39219.1,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
179,1701403080000,39196.5,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
180,1701403140000,39183.4,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
181,1701403200000,39200.9,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
182,1701403260000,39218.5,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
183,1701403320000,39217.9,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
184,1701403380000,39218.0,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
185,1701403440000,39212.1,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
186,1701403500000,39219.2,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
187,1701403560000,39224.0,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
188,1701403620000,39222.1,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
189,1701403680000,39193.6,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
190,1701403740000,39248.2,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
191,1701403800000,39234.3,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
192,1701403860000,39256.3,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
193,1701403920000,39257.6,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
194,1701403980000,39289.8,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
195,1701404040000,39295.9,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
196,1701404100000,39289.7,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
197,1701404160000,39320.0,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
198,1701404220000,39296.0,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
199,1701404280000,39299.9,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
200,1701404340000,39283.2,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
201,1701404460000,39264.7,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
202,1701404520000,39265.5,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
203,1701404580000,39283.2,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
204,1701404640000,39287.2,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
205,1701404700000,39291.4,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
206,1701404760000,39296.0,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
207,1701404820000,39287.6,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
208,1701404880000,39365.9,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
209,1701404940000,39369.0,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
210,1701405000000,39372.7,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
211,1701405060000,39331.3,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
212,1701405120000,39332.6,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
213,1701405180000,39325.8,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
214,1701405240000,39330.2,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
215,1701405300000,39352.1,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
216,1701405360000,39374.3,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
217,1701405420000,39375.3,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
218,1701405480000,39385.6,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
219,1701405540000,39397.9,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
220,1701405600000,39400.0,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
221,1701405660000,39372.1,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
222,1701405720000,39397.5,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
223,1701405780000,39392.5,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
224,1701405840000,39365.6,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
225,1701405900000,39351.8,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
226,1701405960000,39351.8,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
227,1701406020000,39351.7,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
228,1701406080000,39362.8,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
229,1701406140000,39349.0,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
230,1701406200000,39350.0,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
231,1701406260000,39334.4,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
232,1701406320000,39319.0,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
233,1701406380000,39331.0,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
234,1701406440000,39350.0,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
235,1701406500000,39340.7,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
236,1701406560000,39352.1,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
237,1701406620000,39372.9,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
238,1701406680000,39367.9,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
239,1701406740000,39359.9,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
240,1701406800000,39340.7,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
241,1701406860000,39355.3,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
242,1701406920000,39350.1,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
243,1701407040000,39313.3,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
244,1701407100000,39313.3,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
245,1701407160000,39313.3,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
246,1701407340000,39313.5,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
247,1701407400000,39334.4,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
248,1701407520000,39320.2,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
249,1701407700000,39313.3,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
250,1701407760000,39319.0,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
251,1701407820000,39283.2,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
252,1701407880000,39288.2,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
253,1701407940000,39284.4,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
254,1701408000000,39299.6,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
255,1701408060000,39308.8,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
256,1701408120000,39318.7,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
257,1701408180000,39300.0,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
258,1701408240000,39305.0,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
259,1701408300000,39321.7,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
260,1701408360000,39353.5,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
261,1701408420000,39356.7,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
262,1701408600000,39336.1,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
263,1701408660000,39321.6,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
264,1701408720000,39308.8,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
265,1701408780000,39300.0,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
266,1701408840000,39300.0,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
267,1701408900000,39288.3,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
268,1701408960000,39299.3,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
269,1701409140000,39278.4,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
270,1701409200000,39286.8,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
271,1701409380000,39290.0,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
272,1701409440000,39291.2,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
273,1701409560000,39296.0,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
274,1701409680000,39283.2,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
275,1701409740000,39284.1,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
276,1701409800000,39278.4,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
277,1701409860000,39278.4,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
278,1701409920000,39267.1,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
279,1701409980000,39288.1,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
280,1701410040000,39267.1,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
281,1701410100000,39288.9,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
282,1701410160000,39288.9,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
283,1701410220000,39278.0,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
284,1701410340000,39288.1,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
285,1701410400000,39272.0,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
286,1701410460000,39264.7,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
287,1701410520000,39264.7,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
288,1701410580000,39256.3,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
289,1701410640000,39257.3,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
290,1701410700000,39257.0,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
291,1701410760000,39245.9,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
292,1701411000000,39246.0,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
293,1701411060000,39246.9,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
294,1701411120000,39263.4,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
295,1701411300000,39253.4,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
296,1701411540000,39261.8,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
297,1701411600000,39259.6,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
298,1701411660000,39261.6,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
299,1701411720000,39270.3,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
300,1701411840000,39276.6,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
301,1701411900000,39257.7,HOLD,0.0,0.0,0.0,insufficient_liquidity,range,,0.0,0.0
